word,tupled_annos,first_resolve,manual_resolve,resolve_type,ontological_resolve,notes
debvoir,"('O', 'O')",O,O,,,
kennise,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
laten,"('O', 'O')",O,O,,,
toecomen,"('O', 'B-Translocation')","('O', 'B-Translocation')",B-Translocation,M,,
",","('O', 'O')",O,O,,,
Even,"('O', 'O')",O,O,,,
als,"('O', 'O')",O,O,,,
wij,"('O', 'O')",O,O,,,
bij,"('O', 'O')",O,O,,,
die,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
20„e,"('O', 'O')",O,O,,,
xb,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
haer,"('O', 'O')",O,O,,,
nopende,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
zijde,"('O', 'O')",O,O,,,
Leverantie,"('B-Trade', 'B-Trade')",B-Trade,B-Trade,A,,
voor,"('O', 'O')",O,O,,,
dit,"('O', 'O')",O,O,,,
9,"('O', 'O')",O,O,,,
Jaer,"('O', 'O')",O,O,,,
hebben,"('O', 'O')",O,O,,,
gedaen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
g'ordonneerd,"('B-Request', 'B-ForceToAct')","('B-Request', 'B-ForceToAct')",B-Request,M,,
",","('O', 'O')",O,O,,,
die,"('O', 'O')",O,O,,,
des,"('O', 'O')",O,O,,,
mogelijk,"('O', 'O')",O,O,,,
in,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
moolen,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
helpen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
ook,"('O', 'O')",O,O,,,
gequalificeerd,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
soo,"('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
niet,"('O', 'O')",O,O,,,
Lucken,"('O', 'O')",O,O,,,
wilde,"('O', 'O')",O,O,,,
;,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
mier,"('O', 'O')",O,O,,,
sahit,"('O', 'O')",O,O,,,
inhamet,"('O', 'O')",O,O,,,
halsterrig,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
oneanderlijk,"('O', 'O')",O,O,,,
op,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
zijde,"('O', 'O')",O,O,,,
Leverantie,"('O', 'B-Trade')","('O', 'B-Trade')",B-Trade,M,,
aendrong,"('O', 'B-ForceToAct')","('O', 'B-ForceToAct')",B-ForceToAct,M,,
die,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
ontfangen,"('B-Getting', 'B-Getting')",B-Getting,B-Getting,A,,
",","('O', 'O')",O,O,,,
sampt,"('O', 'O')",O,O,,,
bij,"('O', 'O')",O,O,,,
die,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
29„e,"('O', 'O')",O,O,,,
daer,"('O', 'O')",O,O,,,
aen,"('O', 'O')",O,O,,,
volgende,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
15„e,"('O', 'O')",O,O,,,
Jan,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
haer,"('O', 'O')",O,O,,,
indagtigd,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
want,"('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
was,"('O', 'O')",O,O,,,
al,"('O', 'O')",O,O,,,
meede,"('O', 'O')",O,O,,,
vergecten,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
niet,"('O', 'O')",O,O,,,
tegenstaende,"('O', 'O')",O,O,,,
haer,"('O', 'O')",O,O,,,
op,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
15„e,"('O', 'O')",O,O,,,
maij,"('O', 'O')",O,O,,,
daer,"('O', 'O')",O,O,,,
over,"('O', 'O')",O,O,,,
gebruijkte,"('O', 'O')",O,O,,,
breeder,"('O', 'O')",O,O,,,
resonnementen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
miet,"('O', 'O')",O,O,,,
sahit,"('O', 'O')",O,O,,,
inhamed,"('O', 'O')",O,O,,,
op,"('O', 'O')",O,O,,,
ontfangst,"('B-Getting', 'B-Getting')",B-Getting,B-Getting,A,,
van,"('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
schrijvens,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
dato,"('O', 'O')",O,O,,,
29„e,"('O', 'O')",O,O,,,
xb,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
laten,"('O', 'O')",O,O,,,
versoecken,"('B-Request', 'O')","('B-Request', 'O')",B-Request,M,,
",","('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
hij,"('O', 'O')",O,O,,,
ten,"('O', 'O')",O,O,,,
Eersten,"('O', 'O')",O,O,,,
zomee,"('O', 'O')",O,O,,,
conconerenordre,"('B-ForceToAct', 'B-Buying')","('B-ForceToAct', 'B-Buying')",B-ForceToAct,M,,
geliefde,"('I-ForceToAct', 'O')","('I-ForceToAct', 'O')",I-ForceToAct,M,,
te,"('I-ForceToAct', 'O')","('I-ForceToAct', 'O')",I-ForceToAct,M,,
stellen,"('I-ForceToAct', 'O')","('I-ForceToAct', 'O')",I-ForceToAct,M,,
",","('O', 'O')",O,O,,,
aen,"('O', 'O')",O,O,,,
wie,"('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
men,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
gestipuleerde,"('O', 'O')",O,O,,,
recognitie,"('O', 'O')",O,O,,,
goederen,"('O', 'O')",O,O,,,
nu,"('O', 'O')",O,O,,,
geeven,"('B-Giving', 'B-Giving')",B-Giving,B-Giving,A,,
bal,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
niet,"('O', 'O')",O,O,,,
verpligt,"('O', 'B-ForceToAct')","('O', 'B-ForceToAct')",B-ForceToAct,M,,
",","('O', 'O')",O,O,,,
als,"('O', 'O')",O,O,,,
pro,"('O', 'O')",O,O,,,
dato,"('O', 'O')",O,O,,,
soo,"('O', 'O')",O,O,,,
Lange,"('O', 'O')",O,O,,,
aen,"('B-HavingInPossession', 'B-HavingInPossession')",B-HavingInPossession,B-HavingInPossession,A,,
tehouden,"('I-HavingInPossession', 'I-HavingInPossession')",I-HavingInPossession,I-HavingInPossession,A,,
",","('O', 'O')",O,O,,,
sulx,"('O', 'O')",O,O,,,
thans,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
zijde,"('O', 'O')",O,O,,,
buijten,"('O', 'O')",O,O,,,
belastinge,"('O', 'B-FinancialTransaction')","('O', 'B-FinancialTransaction')",B-FinancialTransaction,M,,
daer,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
overgaet,"('B-Translocation', 'O')","('B-Translocation', 'O')",B-Translocation,M,,
",","('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
na,"('O', 'O')",O,O,,,
deesen,"('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
bedragen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
eerst,"('O', 'O')",O,O,,,
het,"('O', 'O')",O,O,,,
comptoir,"('O', 'O')",O,O,,,
generael,"('O', 'O')",O,O,,,
aengereekend,"('B-FinancialTransaction', 'B-FinancialTransaction')",B-FinancialTransaction,B-FinancialTransaction,A,,
;,"('O', 'I-FinancialTransaction')","('O', 'I-FinancialTransaction')",I-FinancialTransaction,M,,
en,"('O', 'I-FinancialTransaction')","('O', 'I-FinancialTransaction')",I-FinancialTransaction,M,,
ten,"('B-FinancialTransaction', 'I-FinancialTransaction')","('B-FinancialTransaction', 'I-FinancialTransaction')",I-FinancialTransaction,AM,,
Lasten,"('I-FinancialTransaction', 'I-FinancialTransaction')",I-FinancialTransaction,I-FinancialTransaction,A,,
gebragt,"('I-FinancialTransaction', 'I-FinancialTransaction')",I-FinancialTransaction,I-FinancialTransaction,A,,
sal,"('O', 'O')",O,O,,,
kunnen,"('O', 'O')",O,O,,,
werden,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
met,"('O', 'O')",O,O,,,
ons,"('O', 'O')",O,O,,,
wijders,"('O', 'O')",O,O,,,
voor,"('O', 'O')",O,O,,,
soo,"('O', 'O')",O,O,,,
veel,"('O', 'O')",O,O,,,
t,"('O', 'O')",O,O,,,
comp,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
s,"('O', 'O')",O,O,,,
spahan,"('O', 'O')",O,O,,,
belangd,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
aen,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
verwisselde,"('O', 'B-Translocation')","('O', 'B-Translocation')",O,M,,
en,"('O', 'O')",O,O,,,
nu,"('O', 'O')",O,O,,,
in,"('O', 'O')",O,O,,,
Copia,"('O', 'O')",O,O,,,
overgaende,"('B-Translocation', 'B-Translocation')",B-Translocation,B-Translocation,A,,
brieven,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
gedraagen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
gelijk,"('O', 'O')",O,O,,,
ook,"('O', 'O')",O,O,,,
in,"('O', 'O')",O,O,,,
alle,"('O', 'O')",O,O,,,
onderdanigh,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
t,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
met,"('O', 'O')",O,O,,,
die,"('O', 'O')",O,O,,,
nu,"('O', 'O')",O,O,,,
na,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
westerse,"('O', 'O')",O,O,,,
Comp,"('O', 'O')",O,O,,,
=,"('O', 'O')",O,O,,,
e,"('O', 'O')",O,O,,,
ver,"('O', 'O')",O,O,,,
werdenff,"('O', 'O')",O,O,,,
erersonden,"('B-Translocation', 'B-Translocation')",B-Translocation,B-Translocation,A,,
",","('O', 'O')",O,O,,,
geschied,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
bestaet,"('O', 'O')",O,O,,,
het,"('O', 'O')",O,O,,,
affgeladene,"('B-Transportation', 'B-Transportation')",B-Transportation,B-Transportation,A,,
ede,"('B-Transportation', 'O')","('B-Transportation', 'O')",O,M,,These rows are not present in the newer version of transcriptions....
te,"('B-Transportation', 'O')","('B-Transportation', 'O')",O,M,,
tegenwoordig,"('B-Transportation', 'O')","('B-Transportation', 'O')",O,M,,
in,"('B-Transportation', 'O')","('B-Transportation', 'O')",O,M,,
de,"('B-Transportation', 'O')","('B-Transportation', 'O')",O,M,,
2,"('B-Transportation', 'O')","('B-Transportation', 'O')",O,M,,
meerged,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
scheepen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
in,"('O', 'O')",O,O,,,
het,"('O', 'O')",O,O,,,
volgende,"('O', 'O')",O,O,,,
teweeten,"('O', 'O')",O,O,,,
\n,\n,\n,\n,,,
„,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
geslipuleerde,"('O', 'O')",O,O,,,
revognitie,"('O', 'O')",O,O,,,
penningen,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
\n,\n,\n,\n,,,
wat,"('O', 'O')",O,O,,,
bij,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
bediendens,"('O', 'O')",O,O,,,
tot,"('O', 'O')",O,O,,,
pahan,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
weegens,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
Leverantie,"('O', 'B-Trade')","('O', 'B-Trade')",B-Trade,M,,
van,"('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
gebp,"('O', 'O')",O,O,,,
in,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
voorhet,"('O', 'O')",O,O,,,
aenstaende,"('O', 'O')",O,O,,,
jaer,"('O', 'O')",O,O,,,
hebben,"('O', 'O')",O,O,,,
\n,\n,\n,\n,,,
voor,"('O', 'B-Transportation')","('O', 'B-Transportation')",O,,,Need to think about this (and following cases) where 'voor [PLACE]' indicates a transportation event
s,"('O', 'I-Transportation')","('O', 'I-Transportation')",O,,,
vaderland,"('O', 'I-Transportation')","('O', 'I-Transportation')",O,,,
Jn,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
prins,"('O', 'O')",O,O,,,
Lugenuss,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
22140,"('O', 'O')",O,O,,,
lb,"('O', 'O')",O,O,,,
kirmanse,"('O', 'O')",O,O,,,
2vol,"('O', 'O')",O,O,,,
in,"('O', 'O')",O,O,,,
246,"('O', 'O')",O,O,,,
balen,"('O', 'O')",O,O,,,
27000,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
zijde,"('O', 'O')",O,O,,,
in,"('O', 'O')",O,O,,,
180,"('O', 'O')",O,O,,,
voor,"('O', 'B-Transportation')","('O', 'B-Transportation')",O,,,
batavia,"('O', 'I-Transportation')","('O', 'I-Transportation')",O,,,
Totx,"('O', 'O')",O,O,,,
paerden,"('O', 'O')",O,O,,,
vaer,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
er,"('O', 'O')",O,O,,,
4,"('O', 'O')",O,O,,,
voor,"('O', 'O')",O,O,,,
bengalen,"('O', 'O')",O,O,,,
zijn,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
3000,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
disse,"('O', 'O')",O,O,,,
bocke,"('O', 'O')",O,O,,,
vellen,"('O', 'O')",O,O,,,
38,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
phelpen,"('O', 'O')",O,O,,,
116,"('O', 'O')",O,O,,,
lb,"('O', 'O')",O,O,,,
thuijn,"('O', 'O')",O,O,,,
Laden,"('O', 'O')",O,O,,,
1000,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
kraek,"('O', 'O')",O,O,,,
amandelen,"('O', 'O')",O,O,,,
9,"('O', 'O')",O,O,,,
600,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
pistasjes,"('O', 'O')",O,O,,,
6600,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
gemeene,"('O', 'O')",O,O,,,
amandelen,"('O', 'O')",O,O,,,
2500,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
rosijnen,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
4000,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
kismis,"('O', 'O')",O,O,,,
702,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
pruijmen,"('O', 'O')",O,O,,,
50,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
geconfijte,"('O', 'O')",O,O,,,
moernagelen,"('O', 'O')",O,O,,,
50,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
pruijmellen,"('O', 'O')",O,O,,,
100,"('O', 'O')",O,O,,,
stx,"('O', 'O')",O,O,,,
glase,"('O', 'O')",O,O,,,
lampen,"('O', 'O')",O,O,,,
130,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
divse,"('O', 'O')",O,O,,,
glaswercken,"('O', 'O')",O,O,,,
60,"('O', 'O')",O,O,,,
kassen,"('O', 'O')",O,O,,,
rosewater,"('O', 'O')",O,O,,,
17,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
1,"('O', 'O')",O,O,,,
clarst,"('O', 'O')",O,O,,,
zijn,"('O', 'O')",O,O,,,
het,"('O', 'O')",O,O,,,
affgescheepte,"('B-Transportation', 'B-Transportation')",B-Transportation,B-Transportation,,,
in,"('O', 'O')",O,O,,,
Engeen,"('O', 'O')",O,O,,,
beloopt,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
ƒ153179,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
17,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
8,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
In't,"('O', 'O')",O,O,,,
schip,"('O', 'O')",O,O,,,
abbekerk,"('O', 'O')",O,O,,,
C,"('O', 'O')",O,O,,,
voor,"('O', 'B-Transportation')","('O', 'B-Transportation')",O,,,
Ceijlon,"('O', 'I-Transportation')","('O', 'I-Transportation')",O,,,
9000,"('O', 'O')",O,O,,,
p,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
s,"('O', 'O')",O,O,,,
goude,"('O', 'O')",O,O,,,
Europeaense,"('O', 'O')",O,O,,,
ducaten,"('O', 'O')",O,O,,,
200,"('O', 'O')",O,O,,,
lb,"('O', 'O')",O,O,,,
kraak,"('O', 'O')",O,O,,,
amasdelen,"('O', 'O')",O,O,,,
1400,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
gemeene,"('O', 'O')",O,O,,,
d,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
o,"('O', 'O')",O,O,,,
10,"('O', 'O')",O,O,,,
kassen,"('O', 'O')",O,O,,,
rosewater,"('O', 'O')",O,O,,,
204,"('O', 'O')",O,O,,,
lb,"('O', 'O')",O,O,,,
veruijmen,"('O', 'O')",O,O,,,
35,"('O', 'O')",O,O,,,
kassen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
als,"('O', 'O')",O,O,,,
25,"('O', 'O')",O,O,,,
d,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
o,"('O', 'O')",O,O,,,
clareten,"('O', 'O')",O,O,,,
10,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
ordinarie,"('O', 'O')",O,O,,,
costende,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
ƒ,"('O', 'O')",O,O,,,
38830:12:00,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
8,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
voor,"('O', 'B-Transportation')","('O', 'B-Transportation')",O,,,
Cormandel,"('O', 'I-Transportation')","('O', 'I-Transportation')",O,,,
100,"('O', 'O')",O,O,,,
lb,"('O', 'O')",O,O,,,
kraek,"('O', 'O')",O,O,,,
amandel,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
700,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
gemeene,"('O', 'O')",O,O,,,
d,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
o,"('O', 'O')",O,O,,,
50,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
sruijmen,"('O', 'O')",O,O,,,
36,"('O', 'O')",O,O,,,
kassen,"('O', 'O')",O,O,,,
wijn,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
als,"('O', 'O')",O,O,,,
10,"('O', 'O')",O,O,,,
d,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
os,"('O', 'O')",O,O,,,
clareten,"('O', 'O')",O,O,,,
26,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
ordinarie,"('O', 'O')",O,O,,,
wijn,"('O', 'O')",O,O,,,
belopen,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
901,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
6,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
8,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
Voor,"('O', 'B-Transportation')","('O', 'B-Transportation')",O,,,
mallabaer,"('O', 'I-Transportation')","('O', 'I-Transportation')",O,,,
13000,"('O', 'O')",O,O,,,
p,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
s,"('O', 'O')",O,O,,,
goude,"('O', 'O')",O,O,,,
ducaten,"('O', 'O')",O,O,,,
10,"('O', 'O')",O,O,,,
kassen,"('O', 'O')",O,O,,,
roservater,"('O', 'O')",O,O,,,
110,"('O', 'O')",O,O,,,
lb,"('O', 'O')",O,O,,,
hasenoten,"('O', 'O')",O,O,,,
—,"('O', 'O')",O,O,,,
40,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
wal,"('O', 'O')",O,O,,,
nooten,"('O', 'O')",O,O,,,
120,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
pruijmellen,"('O', 'O')",O,O,,,
172,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
kraek,"('O', 'O')",O,O,,,
amandelen,"('O', 'O')",O,O,,,
425,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
gemeene,"('O', 'O')",O,O,,,
d,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
o,"('O', 'O')",O,O,,,
82,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
pruijmen,"('O', 'O')",O,O,,,
22,"('O', 'O')",O,O,,,
kassen,"('O', 'O')",O,O,,,
wijn,"('O', 'O')",O,O,,,
als,"('O', 'O')",O,O,,,
18,"('O', 'O')",O,O,,,
d,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
o,"('O', 'O')",O,O,,,
clareten,"('O', 'O')",O,O,,,
4„o,"('O', 'O')",O,O,,,
ord,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
o,"('O', 'O')",O,O,,,
wijn,"('O', 'O')",O,O,,,
monteerende,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
84016,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
p,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
8,"('O', 'O')",O,O,,,
Het,"('O', 'O')",O,O,,,
geladene,"('B-Transportation', 'B-Transportation')",B-Transportation,B-Transportation,A,,
in,"('O', 'O')",O,O,,,
abbekerk,"('O', 'O')",O,O,,,
beloopt,"('O', 'O')",O,O,,,
In,"('O', 'O')",O,O,,,
t,"('O', 'O')",O,O,,,
versondene,"('B-Transportation', 'B-Transportation')",B-Transportation,B-Transportation,A,,
tesamen,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
p,"('O', 'O')",O,O,,,
296927,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
17:-,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
\n,\n,\n,\n,,,
_,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
2ƒ43747:19:8,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
\n,\n,\n,\n,,,
t,"('O', 'O')",O,O,,,
geladene,"('B-Transportation', 'B-Transportation')",B-Transportation,B-Transportation,A,,
in,"('O', 'O')",O,O,,,
dese,"('O', 'O')",O,O,,,
2,"('O', 'O')",O,O,,,
bodems,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
\n,\n,\n,\n,,,
Sulx,"('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
,"('O', 'O')",O,O,,,
er,"('O', 'O')",O,O,,,
buijten,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
Chirase,"('O', 'O')",O,O,,,
wijnen,"('O', 'O')",O,O,,,
die,"('O', 'O')",O,O,,,
men,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
ginderna,"('O', 'O')",O,O,,,
herrew,"('O', 'O')",O,O,,,
#ERROR!,"('O', 'O')",O,O,,,
s,"('O', 'O')",O,O,,,
door,"('O', 'O')",O,O,,,
gebrek,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
Last,"('O', 'O')",O,O,,,
beesten,"('O', 'O')",O,O,,,
niet,"('O', 'O')",O,O,,,
tijdelijk,"('O', 'O')",O,O,,,
heeft,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
batavia,"('O', 'O')",O,O,,,
mauquend,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
kunnen,"('O', 'O')",O,O,,,
affkrijgen,"('B-Transportation', 'B-Transportation')",B-Transportation,B-Transportation,A,,
