word,tupled_annos,first_resolve,manual_resolve,resolve_type,ontological_resolve,notes
",","('O', 'O')",O,O,,,
met,"('O', 'O')",O,O,,,
het,"('O', 'O')",O,O,,,
affgescheepte,"('B-Transportation', 'B-Transportation')",B-Transportation,B-Transportation,A,,
voor,"('O', 'O')",O,O,,,
batavia,"('O', 'O')",O,O,,,
niet,"('O', 'O')",O,O,,,
dan,"('O', 'O')",O,O,,,
4,"('O', 'O')",O,O,,,
kx,"('O', 'O')",O,O,,,
hengs,"('O', 'O')",O,O,,,
tpaerden,"('O', 'O')",O,O,,,
6,"('O', 'O')",O,O,,,
p,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
s,"('O', 'O')",O,O,,,
wvolle,"('O', 'O')",O,O,,,
alcatijven,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
120,"('O', 'O')",O,O,,,
p,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
s,"('O', 'O')",O,O,,,
muscovische,"('O', 'O')",O,O,,,
jugten,"('O', 'O')",O,O,,,
komen,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
"gebreeken,/","('O', 'O')",O,O,,,
ter,"('O', 'O')",O,O,,,
oorsake,"('O', 'O')",O,O,,,
d,"('O', 'O')",O,O,,,
:o,"('O', 'O')",O,O,,,
alcatijven,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
niet,"('O', 'O')",O,O,,,
affgeweeven,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
ende,"('O', 'O')",O,O,,,
Jugten,"('O', 'O')",O,O,,,
uijt,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
bovenlanden,"('O', 'O')",O,O,,,
nog,"('O', 'O')",O,O,,,
niet,"('O', 'O')",O,O,,,
waren,"('O', 'O')",O,O,,,
affgecomen,"('B-Getting', 'B-Arriving')","('B-Getting', 'B-Arriving')",B-Getting,M,,Classic example of something that is both a getting and an arriving event. Opting for getting since it seems to hold more semantic value.
",","('O', 'O')",O,O,,,
terwijl,"('O', 'O')",O,O,,,
het,"('O', 'O')",O,O,,,
al,"('O', 'O')",O,O,,,
versondene,"('B-Transportation', 'B-Transportation')",B-Transportation,B-Transportation,A,,
van,"('O', 'O')",O,O,,,
dit,"('O', 'O')",O,O,,,
mousson,"('O', 'O')",O,O,,,
met,"('O', 'O')",O,O,,,
deese,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
2,"('O', 'O')",O,O,,,
vorige,"('O', 'O')",O,O,,,
bodems,"('O', 'O')",O,O,,,
sommeerd,"('O', 'O')",O,O,,,
ƒ794585,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
18,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
—,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
almogende,"('O', 'O')",O,O,,,
gebeeden,"('O', 'O')",O,O,,,
blijffd,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
haer,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
hier,"('O', 'O')",O,O,,,
vfesonden,"('B-Transportation', 'B-Transportation')",B-Transportation,B-Transportation,A,,
.,"('O', 'O')",O,O,,,
—,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
een,"('O', 'O')",O,O,,,
spoedige,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
behoude,"('O', 'O')",O,O,,,
reijse,"('O', 'B-Voyage')","('O', 'B-Voyage')",B-Voyage,M,,
te,"('O', 'O')",O,O,,,
willen,"('O', 'O')",O,O,,,
verleenen,"('O', 'B-Giving')","('O', 'B-Giving')",B-Giving,M,,
deese,"('O', 'O')",O,O,,,
in,"('O', 'O')",O,O,,,
dus,"('O', 'O')",O,O,,,
verreklaer,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
in,"('O', 'B-Repairing')","('O', 'B-Repairing')",B-Repairing,M,,
gereeth,"('O', 'I-Repairing')","('O', 'I-Repairing')",I-Repairing,M,,
„,"('O', 'I-Repairing')","('O', 'I-Repairing')",I-Repairing,M,,
t,"('O', 'I-Repairing')","('O', 'I-Repairing')",I-Repairing,M,,
gebragt,"('O', 'I-Repairing')","('O', 'I-Repairing')",I-Repairing,M,,
weesende,"('O', 'O')",O,O,,,
soo,"('O', 'O')",O,O,,,
wierd,"('O', 'O')",O,O,,,
ons,"('O', 'O')",O,O,,,
op,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
15„e,"('O', 'O')",O,O,,,
feb,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
p,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
r,"('O', 'O')",O,O,,,
Coopmans,"('O', 'O')",O,O,,,
boode,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
een,"('O', 'O')",O,O,,,
brief,"('O', 'O')",O,O,,,
dspalan,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
door,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
onderaop9,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
ondercoopm,"('O', 'O')",O,O,,,
#ERROR!,"('O', 'O')",O,O,,,
r,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
spahans,"('O', 'O')",O,O,,,
secunde,"('O', 'O')",O,O,,,
Willem,"('O', 'O')",O,O,,,
brooks,"('O', 'O')",O,O,,,
toe,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
gesonden,"('B-Transportation', 'B-Transportation')",B-Transportation,B-Transportation,A,,
.,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
gebragt,"('B-Getting', 'B-Transportation')","('B-Getting', 'B-Transportation')",B-Getting,M,,Classic example of something that is both a getting and an arriving event. Opting for getting since it seems to hold more semantic value.
",","('O', 'B-Getting')","('O', 'B-Getting')",O,M,,
zijnde,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
24„e,"('O', 'O')",O,O,,,
Januarij,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
een,"('O', 'O')",O,O,,,
antwoord,"('O', 'O')",O,O,,,
opden,"('O', 'O')",O,O,,,
onsen,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
20„en,"('O', 'O')",O,O,,,
decemb,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
beneevens,"('O', 'O')",O,O,,,
een,"('O', 'O')",O,O,,,
Ledige,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
wel,"('O', 'O')",O,O,,,
geresonneerde,"('O', 'O')",O,O,,,
verantwoordinge,"('O', 'O')",O,O,,,
op,"('O', 'O')",O,O,,,
het,"('O', 'O')",O,O,,,
geene,"('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
men,"('O', 'O')",O,O,,,
hem,"('O', 'O')",O,O,,,
bij,"('O', 'O')",O,O,,,
het,"('O', 'O')",O,O,,,
wegens,"('O', 'O')",O,O,,,
t,"('O', 'O')",O,O,,,
aan,"('O', 'O')",O,O,,,
hem,"('O', 'O')",O,O,,,
een,"('O', 'O')",O,O,,,
ppahanse,"('O', 'O')",O,O,,,
schrijvens,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
5,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
,"('O', 'O')",O,O,,,
gb,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
ten,"('B-BeingInConflict', 'O')","('B-BeingInConflict', 'O')",B-BeingInConflict,M,,"This document repeatedly uses similar terminology ('ten laste leggen') to indicate a conflict, according to one annotator team. Should consult a historian. "
Lasten,"('I-BeingInConflict', 'O')","('I-BeingInConflict', 'O')",I-BeingInConflict,M,,
Leij,"('I-BeingInConflict', 'O')","('I-BeingInConflict', 'O')",I-BeingInConflict,M,,
",","('O', 'O')",O,O,,,
dog,"('O', 'O')",O,O,,,
dewijl,"('O', 'O')",O,O,,,
d,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
o,"('O', 'O')",O,O,,,
missive,"('O', 'O')",O,O,,,
in,"('O', 'O')",O,O,,,
Copia,"('O', 'O')",O,O,,,
is,"('O', 'O')",O,O,,,
overgaende,"('B-Translocation', 'B-Translocation')",B-Translocation,B-Translocation,A,,
",","('O', 'O')",O,O,,,
sullen,"('O', 'O')",O,O,,,
w,"('O', 'O')",O,O,,,
,"('O', 'O')",O,O,,,
ons,"('O', 'O')",O,O,,,
daer,"('O', 'O')",O,O,,,
aen,"('O', 'O')",O,O,,,
onder,"('O', 'O')",O,O,,,
t,"('O', 'O')",O,O,,,
welneemen,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
uhoog,"('O', 'O')",O,O,,,
Ed,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
e,"('O', 'O')",O,O,,,
agtb,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
gedragen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
niet,"('O', 'O')",O,O,,,
alleen,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
seggen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
onreedelijke,"('O', 'B-Mismanagement')","('O', 'B-Mismanagement')",B-Mismanagement,M,,
wijse,"('O', 'I-Mismanagement')","('O', 'I-Mismanagement')",I-Mismanagement,M,,
op,"('O', 'O')",O,O,,,
welke,"('O', 'O')",O,O,,,
daturen,"('O', 'O')",O,O,,,
dese,"('O', 'O')",O,O,,,
persoon,"('O', 'O')",O,O,,,
bij,"('O', 'O')",O,O,,,
arrive,"('O', 'B-Arriving')","('O', 'B-Arriving')",B-Arriving,M,,
heeft,"('O', 'O')",O,O,,,
comen,"('O', 'O')",O,O,,,
tehandelen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
noghandeld,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
in,"('O', 'O')",O,O,,,
t,"('O', 'O')",O,O,,,
vervolg,"('O', 'O')",O,O,,,
getragt,"('O', 'O')",O,O,,,
verdagt,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
maken,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
daer,"('O', 'O')",O,O,,,
uijt,"('O', 'O')",O,O,,,
seer,"('O', 'O')",O,O,,,
Evidend,"('O', 'O')",O,O,,,
consteerd,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
niet,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
defereeren,"('O', 'O')",O,O,,,
\n,\n,\n,\n,,,
deselfs,"('O', 'O')",O,O,,,
verantwoordinge,"('O', 'O')",O,O,,,
N,"('O', 'O')",O,O,,,
H,"('O', 'O')",O,O,,,
Lasten,"('B-BeingInConflict', 'O')","('B-BeingInConflict', 'O')",B-BeingInConflict,M,,"This document repeatedly uses similar terminology ('ten laste leggen') to indicate a conflict, according to one annotator team. Should consult a historian. "
gelegde,"('I-BeingInConflict', 'O')","('I-BeingInConflict', 'O')",I-BeingInConflict,M,,
.,"('O', 'O')",O,O,,,
\n,\n,\n,\n,,,
rereptie,"('B-Getting', 'O')","('B-Getting', 'O')",B-Getting,M,,
van,"('O', 'O')",O,O,,,
een,"('O', 'O')",O,O,,,
brief,"('O', 'O')",O,O,,,
uijt,"('O', 'O')",O,O,,,
—,"('O', 'O')",O,O,,,
omanbrooks,"('O', 'O')",O,O,,,
herw,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
ts,"('O', 'O')",O,O,,,
aen,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
\n,\n,\n,\n,,,
ook,"('O', 'O')",O,O,,,
wat,"('O', 'O')",O,O,,,
Cap,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
l,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
dit,"('O', 'O')",O,O,,,
moussan,"('O', 'O')",O,O,,,
\n,\n,\n,\n,,,
Comt,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
gedagten,"('O', 'O')",O,O,,,
die,"('O', 'O')",O,O,,,
wij,"('O', 'O')",O,O,,,
daer,"('O', 'O')",O,O,,,
over,"('O', 'O')",O,O,,,
bij,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
onsen,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
12„e,"('O', 'O')",O,O,,,
xl,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
hadden,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
mitsg,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
s,"('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
ons,"('O', 'O')",O,O,,,
voorneemen,"('O', 'O')",O,O,,,
tendeerd,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
om,"('O', 'O')",O,O,,,
sulcke,"('O', 'O')",O,O,,,
connosele,"('B-BeingInConflict', 'O')","('B-BeingInConflict', 'O')",B-BeingInConflict,M,,
kreegelheeden,"('I-BeingInConflict', 'O')","('I-BeingInConflict', 'O')",I-BeingInConflict,M,,
",","('O', 'O')",O,O,,,
als,"('O', 'O')",O,O,,,
men,"('O', 'O')",O,O,,,
tegen,"('O', 'O')",O,O,,,
voordagte,"('O', 'O')",O,O,,,
oudercoopman,"('O', 'O')",O,O,,,
heeft,"('O', 'O')",O,O,,,
aengelegd,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
geen,"('O', 'O')",O,O,,,
verdere,"('O', 'O')",O,O,,,
stoff,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
geeven,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
t,"('O', 'O')",O,O,,,
hier,"('O', 'O')",O,O,,,
bij,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
laten,"('O', 'B-AlteringARelationship')","('O', 'B-AlteringARelationship')",B-AlteringARelationship,M,,
berusten,"('O', 'I-AlteringARelationship')","('O', 'I-AlteringARelationship')",I-AlteringARelationship,M,,
",","('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
onder,"('O', 'O')",O,O,,,
het,"('O', 'O')",O,O,,,
renoveeren,"('B-HavingInternalState+', 'B-HavingInternalState+')",B-HavingInternalState+,B-HavingInternalState+,A,,
van,"('O', 'O')",O,O,,,
een,"('O', 'O')",O,O,,,
goede,"('O', 'O')",O,O,,,
zegt,"('O', 'O')",O,O,,,
debenoudens,"('O', 'O')",O,O,,,
bij,"('O', 'O')",O,O,,,
het,"('O', 'O')",O,O,,,
huijshoudinge,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
minnelijk,"('O', 'O')",O,O,,,
gedrag,"('O', 'O')",O,O,,,
bij,"('O', 'O')",O,O,,,
eerste,"('O', 'O')",O,O,,,
afftegane,"('B-Translocation', 'B-Transportation')","('B-Translocation', 'B-Transportation')",B-Translocation,M,T,
„,"('O', 'O')",O,O,,,
sschrijvens,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
hier,"('O', 'O')",O,O,,,
na,"('O', 'O')",O,O,,,
derrew,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
s,"('O', 'O')",O,O,,,
ook,"('O', 'O')",O,O,,,
ordre,"('O', 'O')",O,O,,,
op,"('O', 'O')",O,O,,,
geene,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
deese,"('O', 'O')",O,O,,,
kleenigheeden,"('O', 'O')",O,O,,,
te,"('O', 'O')",O,O,,,
stellen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
waer,"('O', 'O')",O,O,,,
na,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
dit,"('O', 'O')",O,O,,,
ontfangene,"('B-Getting', 'B-Getting')",B-Getting,B-Getting,A,,
schrijvens,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
ons,"('O', 'O')",O,O,,,
al,"('O', 'O')",O,O,,,
verder,"('O', 'O')",O,O,,,
op,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
18„e,"('O', 'O')",O,O,,,
daer,"('O', 'O')",O,O,,,
aen,"('O', 'O')",O,O,,,
p,"('O', 'O')",O,O,,,
#ERROR!,"('O', 'O')",O,O,,,
r,"('O', 'O')",O,O,,,
addresse,"('O', 'O')",O,O,,,
der,"('O', 'O')",O,O,,,
Engelsche,"('O', 'O')",O,O,,,
is,"('O', 'O')",O,O,,,
toegebragt,"('B-Getting', 'B-Arriving')","('B-Getting', 'B-Arriving')",B-Getting,,,Classic example of something that is both a getting and an arriving event. Opting for getting since it seems to hold more semantic value. I do feel like Transportation is more close to the word used though.
",","('O', 'O')",O,O,,,
een,"('O', 'O')",O,O,,,
Vaderlands,"('O', 'O')",O,O,,,
pacquet,"('O', 'O')",O,O,,,
met,"('O', 'O')",O,O,,,
brieven,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
insluijtende,"('O', 'B-BeingAtAPlace')","('O', 'B-BeingAtAPlace')",O,M,,
behalven,"('O', 'O')",O,O,,,
een,"('O', 'O')",O,O,,,
cinculair,"('O', 'O')",O,O,,,
briefje,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
p,"('O', 'O')",O,O,,,
„,"('O', 'O')",O,O,,,
mo,"('O', 'O')",O,O,,,
gb,"('O', 'O')",O,O,,,
:,"('O', 'O')",O,O,,,
1709,"('O', 'O')",O,O,,,
.,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
Extract,"('O', 'O')",O,O,,,
uijt,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
Eijsch,"('O', 'B-ForceToAct')","('O', 'B-ForceToAct')",B-Reqeust,,,More consistent with other annotations I have seen in other documents
van,"('O', 'O')",O,O,,,
retouren,"('O', 'O')",O,O,,,
voor,"('O', 'O')",O,O,,,
dit,"('O', 'O')",O,O,,,
Lopende,"('O', 'O')",O,O,,,
Jaer,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
soo,"('O', 'O')",O,O,,,
veel,"('O', 'O')",O,O,,,
persien,"('O', 'O')",O,O,,,
concerneerd,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
nog,"('O', 'O')",O,O,,,
vijff,"('O', 'O')",O,O,,,
pacquetten,"('O', 'B-Transportation')","('O', 'B-Transportation')",B-Transportation,,,clear case of 'evokes' 
voor,"('O', 'I-Transportation')","('O', 'I-Transportation')",O,,,
de,"('O', 'O')",O,O,,,
westerse,"('O', 'O')",O,O,,,
comptoiren,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
als,"('O', 'O')",O,O,,,
ceijlon,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
Wat,"('O', 'O')",O,O,,,
geschriften,"('O', 'O')",O,O,,,
daer,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
Cormandel,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
bengalen,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
bouratte,"('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
cochim,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
die,"('O', 'O')",O,O,,,
wij,"('O', 'O')",O,O,,,
bij,"('O', 'O')",O,O,,,
deese,"('O', 'O')",O,O,,,
geleegendheijd,"('O', 'O')",O,O,,,
versenden,"('B-Transportation', 'B-Transportation')",B-Transportation,B-Transportation,A,,
",","('O', 'O')",O,O,,,
alhoewel,"('O', 'O')",O,O,,,
wij,"('O', 'O')",O,O,,,
vertrouwende,"('O', 'O')",O,O,,,
vrunden,"('O', 'B-BeingInARelationship')","('O', 'B-BeingInARelationship')",B-BeingInARelationship,M,,
van,"('O', 'O')",O,O,,,
derselver,"('O', 'O')",O,O,,,
teneur,"('O', 'O')",O,O,,,
al,"('O', 'O')",O,O,,,
sullen,"('O', 'O')",O,O,,,
weesen,"('O', 'O')",O,O,,,
gediend,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
gemerkt,"('O', 'O')",O,O,,,
die,"('O', 'O')",O,O,,,
voor,"('O', 'O')",O,O,,,
deese,"('O', 'O')",O,O,,,
directie,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
ons,"('O', 'O')",O,O,,,
al,"('O', 'O')",O,O,,,
over,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
mallabaer,"('O', 'O')",O,O,,,
zijn,"('O', 'O')",O,O,,,
toegecomen,"('B-Transportation', 'B-Translocation')","('B-Transportation', 'B-Translocation')",B-Translocation,M,T,
",","('O', 'O')",O,O,,,
gelijk,"('O', 'O')",O,O,,,
voorwaerts,"('O', 'O')",O,O,,,
genoteerd,"('O', 'O')",O,O,,,
gensteerd,"('O', 'O')",O,O,,,
geworden,"('O', 'O')",O,O,,,
is,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
intusschen,"('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
den,"('O', 'O')",O,O,,,
ondercoopman,"('O', 'O')",O,O,,,
Coorte,"('O', 'O')",O,O,,,
tot,"('O', 'O')",O,O,,,
hoeden,"('O', 'O')",O,O,,,
ondercoopman,"('O', 'O')",O,O,,,
sood,"('O', 'O')",O,O,,,
dato,"('O', 'O')",O,O,,,
nog,"('O', 'O')",O,O,,,
niet,"('O', 'O')",O,O,,,
vernomen,"('O', 'O')",O,O,,,
werdende,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
nu,"('O', 'O')",O,O,,,
tot,"('B-StartingConflict', 'O')","('B-StartingConflict', 'O')",B-StartingConflict,M,,"This document repeatedly uses similar terminology ('ten laste leggen') to indicate a conflict, according to one annotator team. Should consult a historian. "
een,"(B-StartingConflict', 'O')","('I-StartingConflict', 'O')",I-StartingConflict,M,,
Last,"('I-StartingConflict', 'O')","('I-StartingConflict', 'O')",I-StartingConflict,M,,
Comt,"('I-StartingConflict', 'O')","('I-StartingConflict', 'O')",I-StartingConflict,M,,
",","('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
tot,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
naest,"('O', 'O')",O,O,,,
van,"('O', 'O')",O,O,,,
deese,"('O', 'O')",O,O,,,
directie,"('O', 'O')",O,O,,,
de,"('O', 'O')",O,O,,,
naestvolgende,"('O', 'O')",O,O,,,
scheepen,"('O', 'O')",O,O,,,
sal,"('O', 'O')",O,O,,,
moeten,"('O', 'O')",O,O,,,
inwagten,"('O', 'O')",O,O,,,
",","('O', 'O')",O,O,,,
en,"('O', 'O')",O,O,,,
hier,"('O', 'O')",O,O,,,
overblijven,"('B-BeingAtAPlace', 'B-BeingAtAPlace')",B-BeingAtAPlace,B-BeingAtAPlace,A,,
",","('O', 'O')",O,O,,,
dat,"('O', 'O')",O,O,,,
wij,"('O', 'O')",O,O,,,
Liever,"('O', 'O')",O,O,,,
anders,"('O', 'O')",O,O,,,
\n,\n,\n,\n,,,
nog,"('O', 'O')",O,O,,,
niet,"('O', 'O')",O,O,,,
te,"('O', 'B-BeingAtAPlace')","('O', 'B-BeingAtAPlace')",B-BeingAtAPlace,M,,
voorschijn,"('O', 'I-BeingAtAPlace')","('O', 'I-BeingAtAPlace')",I-BeingAtAPlace,M,,
besending,"('O', 'B-Transportation')","('O', 'B-Transportation')",B-Transportation,M,,
